uid,vbm_vac,cbm_vac
Sb4Se4Si4-5560e1e76bb5,-5.748695166410858,-3.1626666998032613
Cl2Cu2S4-9e53564ef59b,-7.582196717964898,-5.219619792231758
Cu2F2Se4-b98410f09ff7,-6.9500015966038875,-4.679839908601438
AgSbAs2Se6-95db4854d7c8,-5.9271654803215785,-4.7468651552119825
AgVAs2Te6-32a9d0a80f98,-5.280723808181397,-4.362698532431977
BiCuAs2S6-409ff96a31e4,-7.015045517491877,-4.765276405367768
CoNaP2Se6-ae85a1760176,-6.3901335730458,-4.672642856622625
InLiP2Se6-1967643cffed,-6.4674618034827,-4.015210708533701
Cr2Ge2Se6-6e4ba1cb65ab,-5.877628617443754,-4.141325111611529
Cr2Si2Se6-9cf882a045e7,-6.012030733580577,-4.067299097384068
Ni2Te2O6-52e928ad4637,-5.692510621917196,-3.470259414400501
Pd2S2O6-2b8a6600036a,-7.3239076603886595,-4.473177374783862
V2W2O10-d726186fc744,-6.827229023513301,-4.185469880375117
K2Nb2I12-cb84666ef68b,-6.29175182999737,-4.57600654972863
Br2Cu2Hg2Se2-e57b897993a1,-6.726982656028866,-4.4744750175546795
Cu2Hg2I2Se2-50bec13077d7,-6.271188267582289,-4.307844448138701
As4Ba4Cl4Se8-23ce1fab46a5,-6.176818014461543,-3.7730613126049404
Ba4Bi4F4S8-6677e580df88,-6.155966347011382,-3.801562437268151
Ba4F4Sb4Te8-5d148bf27c88,-5.387136710993777,-4.49095579957915
Bi4F4Sr4S8-74456ad23fba,-5.75701142791567,-4.375742048834242
CdInTlS4-45a399554d0c,-6.322538016628407,-5.195241145633526
C2K2O2Os2F10-96f0ea060310,-8.274742566370344,-6.444070028861674
Cr4S6-fa071252ce1a,-6.859825463834137,-4.707961803317884
Tl2Se3-f96266dd61ae,-4.044575887165018,-2.873080080237671
Cl6Cu6-7db5187e1c43,-7.122234370327067,-4.800461480450285
Pb6S6-280f1f2bdfb8,-4.828836738596941,-3.8121337053120294
Pb2Br4-acc12016f174,-7.402266345909802,-4.550596083477638
Ti2Br4S4-49155d90cacd,-6.560198575382654,-4.07794652581584
As2Be2Li2-5f6f4bba722a,-3.5612804282769677,-1.6416229041832051
As2Re2Se2-cd1b3e6b881f,-5.313488827988277,-3.883771653107495
Be2Na2P2-97869c63c58b,-2.26355876022832,-1.2027890714553129
Br2Cl2Pt2-5127b427ac64,-6.677684946540944,-4.423027669908745
Cu2S2Tl2-3253e46a5176,-5.056669287230274,-3.8886154478771098
N2Nb2Se2-0e7e593fc5c8,-4.582458532556929,-3.863665034660691
Bi2H2S4-96646551eb97,-6.314089492707117,-4.733377893567066
Ag2Cd2I6-dfeda53e5478,-6.420882322087321,-3.6046486596774048
Au2Hg2Br6-522c11c822b3,-6.7140311453582395,-5.06675121822292
Bi2Se3-411e90e87392,-6.363035160665145,-5.63133537126129
Cr2Si2Te6-64781dd6f055,-4.99420929799944,-3.973343170057357
Cu2Sb2S4-65d9e486a5d3,-5.215226207195409,-3.8045432215691557
Ga2In2S6-6f15ed00a3e7,-7.427472061255911,-4.596805911267362
SNb3Br7-fcaffc8889e4,-5.677687383309559,-4.152961749380275
Si2Nb4Te8-1d32f2bca255,-4.642872904548017,-3.921295093041274
Pd2Se2O6-11fca06326ed,-6.256407490825939,-4.074311664994148
Cl2Re6Se8-a9e814a64331,-6.706638262881723,-4.811301440879856
AgVP2Se6-f686893f02e6,-5.936415189519637,-4.138412777559649
Cd4Cl4-7bb904d70787,-6.695413321658686,-4.385209652683519
Cl2I2Zr2-9bc6e0a00d31,-4.416414721218242,-3.4196915859337453
Ag2Br2-9d25bdce5cb7,-7.230047490267512,-4.267670456676904
In2Te2-3cf9ea4cebc4,-5.612289358119631,-3.904469004558129
Se2Tl2-16490f81af26,-6.249197282534338,-5.415605925166043
Fe2Se4-5f4dce912dea,-5.74023410807611,-4.6868158741530275
GeSe2-8af45b2cf14e,-5.562915756697855,-4.114778417735444
HfS2-d48ddb34811e,-6.890618476714284,-4.742600867983647
Ni2S4-f295a651d590,-6.608949456961838,-4.37827427284152
Pd2Te4-7af34a9daaff,-5.618283333051709,-3.8752735777005336
Rh4S8-eb7f99d79736,-6.734373997174366,-5.332650628210429
ScCl2-945f3bbaeedc,-3.926346281947478,-3.1905528168629753
WAg2Se4-9f6654987212,-5.7104426820914505,-3.6713966001079377
ReCu2I6-ec359e53fb49,-6.374366209729652,-4.781964777315993
CrMo3Te8-159f028a85d0,-4.73922783540444,-3.634556085700882
MoW3Te8-5c3fe56a1a89,-4.578626259514621,-3.359074574216939
BrClHf-72257f9ad66d,-3.6936603661370215,-2.3327270115693057
Br2N2Ti2-bbcb5bbdd462,-6.759919714207372,-4.675716270114191
CrSSe-09e1e5ef94cb,-5.464289922008513,-4.223614615950045
MoSeTe-42eb12e7b656,-5.090794053704917,-3.4967799686210097
Ag2Br2Te4-ce52fbc99f30,-6.217872424335734,-4.163351119277631
Cd2P2Se6-0460cce85156,-6.186405008909043,-4.036590488811758
Ge2P2Te6-e8f4b479deef,-5.136810544754878,-3.88738673788604
P2Sn2S6-aa34f4a1c451,-5.951256339159379,-4.2504150762166315
SnBr2S2-1763a0cc8c28,-6.974805464007904,-5.485192751403507
IO2V2Br3-32ee09ba6c68,-5.658239397438214,-3.801047081693314
SeS3I4Pt4-f58c847a612d,-5.792095248518427,-4.337023454067936
